date,year,ticker,adj_close,close,high,low,open,volume,current_shares,daily_trades,trade_price,trade_value,cash_reserves,portfolio_value
2012-05-18,2012,FB,38.23,38.23,45.0,38.0,42.049999,573576400,100.0,0.0,39.5531,-0.0,50000.0,3823.0
2012-05-21,2012,FB,34.029999,34.029999,36.66,33.0,36.529999,168192700,100.5086,0.5086,35.0831,-17.8433,49982.16,3420.31
2012-05-22,2012,FB,31.0,31.0,33.59,30.940001,32.610001,101786600,101.0172,0.5086,33.1215,-16.8456,49983.15,3131.53
2012-05-23,2012,FB,32.0,32.0,32.5,31.360001,31.370001,73600000,101.5257,0.5085,32.027,-16.2857,49983.71,3248.82
2012-05-24,2012,FB,33.029999,33.029999,33.209999,31.77,32.950001,50237200,102.0341,0.5084,32.6225,-16.5853,49983.41,3370.19
2012-05-25,2012,FB,31.91,31.91,32.950001,31.110001,32.900002,37149800,102.5424,0.5083,31.3905,-15.9558,49984.04,3272.13
2012-05-29,2012,FB,28.84,28.84,31.690001,28.65,31.48,78063400,103.0506,0.5082,31.6444,-16.0817,49983.92,2971.98
2012-05-30,2012,FB,28.190001,28.190001,29.549999,27.860001,28.700001,57267900,103.5586,0.508,28.2804,-14.3664,49985.63,2919.32
2012-05-31,2012,FB,29.6,29.6,29.67,26.83,28.549999,111639200,104.0663,0.5077,26.9595,-13.6873,49986.31,3080.36
2012-06-01,2012,FB,27.719999,27.719999,29.15,27.389999,28.889999,41855500,104.5739,0.5076,28.4362,-14.4342,49985.57,2898.79
2012-06-04,2012,FB,26.9,26.9,27.65,26.440001,27.200001,35230300,105.0811,0.5072,27.4093,-13.902,49986.1,2826.68
2012-06-05,2012,FB,25.870001,25.870001,27.76,25.75,26.700001,42473400,105.5881,0.507,26.1652,-13.2658,49986.73,2731.56
2012-06-06,2012,FB,26.809999,26.809999,27.17,25.52,26.07,61489200,106.0947,0.5066,27.0984,-13.728,49986.27,2844.4
2012-06-07,2012,FB,26.309999,26.309999,27.35,26.15,27.0,26159500,106.6009,0.5062,26.7074,-13.5193,49986.48,2804.67
2012-06-08,2012,FB,27.1,27.1,27.76,26.440001,26.549999,38034000,107.1068,0.5059,26.9522,-13.6351,49986.36,2902.59
2012-06-11,2012,FB,27.01,27.01,28.07,26.84,27.18,28219600,107.6122,0.5054,27.6195,-13.9589,49986.04,2906.61
2012-06-12,2012,FB,27.4,27.4,27.77,26.959999,27.48,15816800,108.1172,0.505,27.1957,-13.7338,49986.27,2962.41
2012-06-13,2012,FB,27.27,27.27,28.1,27.1,27.66,17102800,108.6217,0.5045,27.533,-13.8904,49986.11,2962.11
2012-06-14,2012,FB,28.290001,28.290001,28.32,27.379999,27.65,16855000,109.1257,0.504,27.612,-13.9164,49986.08,3087.17
2012-06-15,2012,FB,30.01,30.01,30.1,28.35,28.51,43563800,109.6292,0.5035,29.5251,-14.8659,49985.13,3289.97
2012-06-18,2012,FB,31.41,31.41,32.080002,29.41,29.959999,42978900,110.1321,0.5029,30.24,-15.2077,49984.79,3459.25
2012-06-19,2012,FB,31.91,31.91,32.18,30.700001,31.540001,30849000,110.6343,0.5022,31.8869,-16.0136,49983.99,3530.34
2012-06-20,2012,FB,31.6,31.6,31.93,31.15,31.92,15553600,111.136,0.5017,31.4571,-15.782,49984.22,3511.9
2012-06-21,2012,FB,31.84,31.84,32.5,31.51,31.67,21875300,111.637,0.501,32.4735,-16.2692,49983.73,3554.52
2012-06-22,2012,FB,33.049999,33.049999,33.450001,32.060001,32.41,74834000,112.1373,0.5003,33.0631,-16.5415,49983.46,3706.14
2012-06-25,2012,FB,32.060001,32.060001,33.02,31.549999,32.860001,24352900,112.6368,0.4995,31.8075,-15.8878,49984.11,3611.14
2012-06-26,2012,FB,33.099998,33.099998,33.439999,32.5,32.689999,24858700,113.1357,0.4989,33.2238,-16.5754,49983.42,3744.79
2012-06-27,2012,FB,32.23,32.23,32.900002,31.9,32.459999,28568000,113.6337,0.498,32.4173,-16.1438,49983.86,3662.41
2012-06-28,2012,FB,31.360001,31.360001,32.189999,30.9,31.959999,17713300,114.1309,0.4972,31.8838,-15.8526,49984.15,3579.15
2012-06-29,2012,FB,31.1,31.1,31.99,30.76,31.92,19526900,114.6273,0.4964,31.2034,-15.4894,49984.51,3564.91
2012-07-02,2012,FB,30.77,30.77,31.73,30.549999,31.25,14122000,115.1229,0.4956,31.0779,-15.4022,49984.6,3542.33
2012-07-03,2012,FB,31.200001,31.200001,31.440001,30.799999,30.91,8763600,115.6175,0.4946,31.3677,-15.5145,49984.49,3607.27
2012-07-05,2012,FB,31.469999,31.469999,31.629999,31.02,31.32,10032100,116.1112,0.4937,31.0776,-15.343,49984.66,3654.02
2012-07-06,2012,FB,31.73,31.73,31.9,31.26,31.440001,10945600,116.6039,0.4927,31.4529,-15.4968,49984.5,3699.84
2012-07-09,2012,FB,32.169998,32.169998,32.880001,31.99,32.099998,17785200,117.0957,0.4918,32.5673,-16.0166,49983.98,3766.97
2012-07-10,2012,FB,31.469999,31.469999,32.48,31.16,32.43,14269500,117.5864,0.4907,32.3842,-15.8909,49984.11,3700.44
2012-07-11,2012,FB,30.969999,30.969999,31.559999,30.549999,31.48,13030300,118.0761,0.4897,30.8891,-15.1264,49984.87,3656.82
2012-07-12,2012,FB,30.809999,30.809999,31.4,30.6,30.700001,11300700,118.5648,0.4887,31.1994,-15.2471,49984.75,3652.98
2012-07-13,2012,FB,30.719999,30.719999,31.07,30.559999,31.040001,8108300,119.0523,0.4875,30.5601,-14.898,49985.1,3657.29
2012-07-16,2012,FB,28.25,28.25,30.5,28.209999,30.5,24672100,119.5387,0.4864,30.4295,-14.8009,49985.2,3376.97
2012-07-17,2012,FB,28.09,28.09,28.59,27.15,28.48,30438600,120.0239,0.4852,27.3438,-13.2672,49986.73,3371.47
2012-07-18,2012,FB,29.110001,29.110001,29.290001,28.15,28.309999,16841800,120.508,0.4841,28.5136,-13.8034,49986.2,3507.99
2012-07-19,2012,FB,29.0,29.0,29.5,28.629999,29.41,13685100,120.9908,0.4828,29.3689,-14.1793,49985.82,3508.73
2012-07-20,2012,FB,28.76,28.76,29.469999,28.719999,29.0,11869100,121.4724,0.4816,28.9791,-13.9563,49986.04,3493.55
2012-07-23,2012,FB,28.75,28.75,29.0,28.01,28.120001,12390700,121.9527,0.4803,28.7582,-13.8126,49986.19,3506.14
2012-07-24,2012,FB,28.450001,28.450001,29.450001,28.1,28.82,11539800,122.4317,0.479,29.3885,-14.0771,49985.92,3483.18
2012-07-25,2012,FB,29.34,29.34,29.49,28.08,28.389999,17230200,122.9093,0.4776,28.3688,-13.5489,49986.45,3606.16
2012-07-26,2012,FB,26.85,26.85,28.23,26.73,27.75,64597400,123.3856,0.4763,28.1483,-13.407,49986.59,3312.9
2012-07-27,2012,FB,23.709999,23.709999,24.540001,22.280001,23.190001,123102300,123.8605,0.4749,23.3282,-11.0786,49988.92,2936.73
2012-07-30,2012,FB,23.15,23.15,24.040001,23.030001,24.0,29285900,124.334,0.4735,23.841,-11.2887,49988.71,2878.33
2012-07-31,2012,FB,21.709999,21.709999,23.370001,21.610001,23.370001,56179400,124.8061,0.4721,22.4379,-10.5929,49989.41,2709.54
2012-08-01,2012,FB,20.879999,20.879999,21.58,20.84,21.5,44604400,125.2767,0.4706,21.3909,-10.0666,49989.93,2615.78
2012-08-02,2012,FB,20.040001,20.040001,20.84,19.82,20.77,56374500,125.7458,0.4691,20.7105,-9.7153,49990.28,2519.95
2012-08-03,2012,FB,21.09,21.09,22.16,19.9,20.360001,80647000,126.2133,0.4675,20.8314,-9.7387,49990.26,2661.84
2012-08-06,2012,FB,21.92,21.92,22.15,21.299999,21.389999,27778900,126.6793,0.466,21.759,-10.1397,49989.86,2776.81
2012-08-07,2012,FB,20.719999,20.719999,22.450001,20.5,22.200001,36782900,127.1437,0.4644,21.7945,-10.1214,49989.88,2634.42
2012-08-08,2012,FB,20.719999,20.719999,21.15,20.219999,20.709999,29537400,127.6065,0.4628,20.5477,-9.5095,49990.49,2644.01
2012-08-09,2012,FB,21.01,21.01,21.17,20.610001,20.75,15610700,128.0677,0.4612,20.8577,-9.6196,49990.38,2690.7
2012-08-10,2012,FB,21.809999,21.809999,21.82,21.129999,21.41,25794700,128.5272,0.4595,21.7129,-9.9771,49990.02,2803.18
2012-08-13,2012,FB,21.6,21.6,22.450001,21.4,22.15,24973100,128.985,0.4578,21.8041,-9.9819,49990.02,2786.08
2012-08-14,2012,FB,20.379999,20.379999,21.6,20.25,21.41,39308800,129.441,0.456,21.3883,-9.7531,49990.25,2638.01
2012-08-15,2012,FB,21.200001,21.200001,21.41,20.4,20.639999,47861100,129.8954,0.4544,21.0422,-9.5616,49990.44,2753.78
2012-08-16,2012,FB,19.870001,19.870001,20.48,19.690001,20.440001,157565300,130.3479,0.4525,19.711,-8.9192,49991.08,2590.01
2012-08-17,2012,FB,19.049999,19.049999,20.08,19.0,20.01,129293400,130.7987,0.4508,19.4732,-8.7785,49991.22,2491.72
2012-08-20,2012,FB,20.01,20.01,20.129999,18.75,19.049999,101186600,131.2476,0.4489,19.9648,-8.9622,49991.04,2626.26
2012-08-21,2012,FB,19.16,19.16,19.98,19.09,19.58,70640600,131.6947,0.4471,19.5141,-8.7248,49991.28,2523.27
2012-08-22,2012,FB,19.440001,19.440001,19.530001,18.959999,19.360001,49892200,132.1399,0.4452,19.137,-8.5198,49991.48,2568.8
2012-08-23,2012,FB,19.440001,19.440001,19.73,19.360001,19.5,32813700,132.5831,0.4432,19.3994,-8.5978,49991.4,2577.42
2012-08-24,2012,FB,19.41,19.41,19.68,19.25,19.52,29622200,133.0245,0.4414,19.5742,-8.6401,49991.36,2582.01
2012-08-27,2012,FB,19.15,19.15,19.530001,19.1,19.49,20704000,133.4638,0.4393,19.3733,-8.5107,49991.49,2555.83
2012-08-28,2012,FB,19.34,19.34,19.379999,18.950001,19.1,25417000,133.9012,0.4374,18.9973,-8.3094,49991.69,2589.65
2012-08-29,2012,FB,19.1,19.1,19.379999,19.07,19.32,16124700,134.3366,0.4354,19.2095,-8.3638,49991.64,2565.83
2012-08-30,2012,FB,19.09,19.09,19.450001,19.059999,19.27,30647500,134.77,0.4334,19.1839,-8.3143,49991.69,2572.76
2012-08-31,2012,FB,18.059999,18.059999,18.700001,18.030001,18.68,58764200,135.2012,0.4312,18.1608,-7.8309,49992.17,2441.73
2012-09-04,2012,FB,17.73,17.73,18.27,17.549999,18.08,46622400,135.6304,0.4292,18.2398,-7.8285,49992.17,2404.73
2012-09-05,2012,FB,18.58,18.58,18.75,18.18,18.27,60781800,136.0575,0.4271,18.6552,-7.9676,49992.03,2527.95
2012-09-06,2012,FB,18.959999,18.959999,19.26,18.719999,18.74,46066500,136.4824,0.4249,18.9825,-8.0657,49991.93,2587.71
2012-09-07,2012,FB,18.98,18.98,19.42,18.780001,19.1,36371700,136.9052,0.4228,19.3744,-8.1915,49991.81,2598.46
2012-09-10,2012,FB,18.809999,18.809999,19.200001,18.549999,19.059999,24797800,137.3257,0.4205,18.9214,-7.9564,49992.04,2583.1
2012-09-11,2012,FB,19.43,19.43,19.58,18.85,18.92,50508200,137.7441,0.4184,19.1096,-7.9955,49992.0,2676.37
2012-09-12,2012,FB,20.93,20.93,21.16,20.280001,20.76,121584000,138.1602,0.4161,20.4728,-8.5187,49991.48,2891.69
2012-09-13,2012,FB,20.709999,20.709999,21.48,20.610001,20.959999,65041600,138.574,0.4138,21.2626,-8.7985,49991.2,2869.87
2012-09-14,2012,FB,22.0,22.0,22.08,20.9,21.129999,72819800,138.9856,0.4116,21.2971,-8.7659,49991.23,3057.68
2012-09-17,2012,FB,21.52,21.52,22.75,21.5,22.67,50667600,139.3948,0.4092,22.2287,-9.096,49990.9,2999.78
2012-09-18,2012,FB,21.870001,21.870001,21.98,21.370001,21.6,36760500,139.8017,0.4069,21.7392,-8.8457,49991.15,3057.46
2012-09-19,2012,FB,23.290001,23.290001,23.370001,21.77,21.99,78782800,140.2063,0.4046,21.8302,-8.8325,49991.17,3265.4
2012-09-20,2012,FB,22.59,22.59,23.24,22.540001,23.02,57248900,140.6084,0.4021,23.0933,-9.2858,49990.71,3176.34
2012-09-21,2012,FB,22.860001,22.860001,23.24,22.6,22.969999,51218100,141.0082,0.3998,22.6073,-9.0384,49990.96,3223.45
2012-09-24,2012,FB,20.790001,20.790001,21.98,20.360001,21.780001,79106500,141.4055,0.3973,21.0881,-8.3783,49991.62,2939.82
2012-09-25,2012,FB,20.280001,20.280001,21.209999,20.219999,21.200001,46291700,141.8003,0.3948,20.9823,-8.2838,49991.72,2875.71
2012-09-26,2012,FB,20.620001,20.620001,20.780001,19.799999,20.15,38271900,142.1927,0.3924,20.7724,-8.1511,49991.85,2932.01
2012-09-27,2012,FB,20.32,20.32,21.0,20.16,20.99,30215900,142.5825,0.3898,20.2862,-7.9076,49992.09,2897.28
2012-09-28,2012,FB,21.66,21.66,21.950001,20.5,20.57,65486000,142.9698,0.3873,20.9109,-8.0988,49991.9,3096.73
2012-10-01,2012,FB,21.99,21.99,22.59,21.73,22.08,51262700,143.3546,0.3848,22.364,-8.6057,49991.39,3152.37
2012-10-02,2012,FB,22.27,22.27,22.49,21.82,22.08,29341400,143.7368,0.3822,22.4441,-8.5781,49991.42,3201.02
2012-10-03,2012,FB,21.83,21.83,22.49,21.799999,22.299999,32000100,144.1164,0.3796,21.8902,-8.3095,49991.69,3146.06
2012-10-04,2012,FB,21.950001,21.950001,22.4,21.41,22.32,46892100,144.4934,0.377,22.2142,-8.3748,49991.63,3171.63
